,title,seed,test_size,epochs,test_acc,train_acc
140,BasicModelSmall_256dim_0.46ts_141seed_both,141,0.46,9999,1.0,0.9999999403953552
141,BasicModelSmall_256dim_0.47ts_142seed_both,142,0.47,9999,1.0,1.0
142,BasicModelSmall_256dim_0.48ts_143seed_both,143,0.48,9999,1.0,1.0
143,BasicModelSmall_256dim_0.49ts_144seed_both,144,0.49,9999,0.9999999403953552,1.0
144,BasicModelSmall_256dim_0.5ts_145seed_both,145,0.5,9999,1.0,1.0
145,BasicModelSmall_256dim_0.51ts_146seed_both,146,0.51,9999,1.0,1.0
146,BasicModelSmall_256dim_0.52ts_147seed_both,147,0.52,9999,1.0,1.0
147,BasicModelSmall_256dim_0.53ts_148seed_both,148,0.53,9999,1.0,1.0
148,BasicModelSmall_256dim_0.54ts_149seed_both,149,0.54,9999,0.9996654987335205,1.0
149,BasicModelSmall_256dim_0.55ts_150seed_both,150,0.55,9999,1.0,1.0
150,BasicModelSmall_256dim_0.56ts_151seed_both,151,0.56,9999,1.0,1.0
151,BasicModelSmall_256dim_0.57ts_152seed_both,152,0.57,9999,1.0,1.0
152,BasicModelSmall_256dim_0.58ts_153seed_both,153,0.58,9999,1.0,1.0
153,BasicModelSmall_256dim_0.59ts_154seed_both,154,0.59,9999,0.9987863898277283,1.0
154,BasicModelSmall_256dim_0.6ts_155seed_both,155,0.6,9999,0.9982557892799377,1.0
155,BasicModelSmall_256dim_0.61ts_156seed_both,156,0.61,9999,0.9988551735877991,1.0
156,BasicModelSmall_256dim_0.62ts_157seed_both,157,0.62,9999,0.9974873661994934,1.0
157,BasicModelSmall_256dim_0.63ts_158seed_both,158,0.63,9999,1.0,1.0
158,BasicModelSmall_256dim_0.64ts_159seed_both,159,0.64,9999,0.9977413415908813,1.0
159,BasicModelSmall_256dim_0.65ts_160seed_both,160,0.65,9999,0.9986316561698914,1.0
160,BasicModelSmall_256dim_0.66ts_161seed_both,161,0.66,9999,0.9988937973976135,1.0
161,BasicModelSmall_256dim_0.67ts_162seed_both,162,0.67,9999,0.9965662360191345,1.0
162,BasicModelSmall_256dim_0.68ts_163seed_both,163,0.68,9999,0.9967966079711914,1.0
163,BasicModelSmall_256dim_0.69ts_164seed_both,164,0.69,9999,0.9897959232330322,1.0
164,BasicModelSmall_256dim_0.7ts_165seed_both,165,0.7,9999,0.9600808620452881,1.0
165,BasicModelSmall_256dim_0.71ts_166seed_both,166,0.71,9999,0.9693467020988464,1.0
166,BasicModelSmall_256dim_0.72ts_167seed_both,167,0.72,9999,0.9848561882972717,1.0
167,BasicModelSmall_256dim_0.73ts_168seed_both,168,0.73,9999,0.9766240119934082,1.0
168,BasicModelSmall_256dim_0.74ts_169seed_both,169,0.74,9999,0.9402438998222351,1.0
169,BasicModelSmall_256dim_0.75ts_170seed_both,170,0.75,9999,0.9369708299636841,1.0
170,BasicModelSmall_256dim_0.76ts_171seed_both,171,0.76,9999,0.9417775869369507,0.9999999403953552
171,BasicModelSmall_256dim_0.77ts_172seed_both,172,0.77,9999,0.9104824066162109,1.0
172,BasicModelSmall_256dim_0.78ts_173seed_both,173,0.78,9999,0.90004563331604,1.0
173,BasicModelSmall_256dim_0.79ts_174seed_both,174,0.79,9999,0.8486155271530151,1.0
174,BasicModelSmall_256dim_0.8ts_175seed_both,175,0.8,9999,0.8640449643135071,1.0
175,BasicModelSmall_256dim_0.81ts_176seed_both,176,0.81,9999,0.7026785612106323,1.0
