,title,seed,test_size,epochs,test_apb_acc,test_amb_acc,test_acc,train_acc
71,BasicModelSmall_256dim_0.72ts_72seed_combined,72,0.72,9999,0.33100348711013794,0.17104612290859222,0.2507462799549103,1.0
72,BasicModelSmall_256dim_0.72ts_73seed_combined,73,0.72,9999,0.319327712059021,0.20059289038181305,0.2599456310272217,0.9999999403953552
73,BasicModelSmall_256dim_0.72ts_74seed_combined,74,0.72,9999,0.2729528546333313,0.15567675232887268,0.2142857313156128,1.0
74,BasicModelSmall_256dim_0.72ts_75seed_combined,75,0.72,9999,0.1860579252243042,0.2757575809955597,0.2302713543176651,1.0
75,BasicModelSmall_256dim_0.72ts_76seed_combined,76,0.72,9999,0.17528311908245087,0.16309639811515808,0.16915544867515564,1.0
76,BasicModelSmall_256dim_0.73ts_77seed_combined,77,0.73,9999,0.06878048926591873,0.165543794631958,0.11749030649662018,1.0
77,BasicModelSmall_256dim_0.73ts_78seed_combined,78,0.73,9999,0.1796494722366333,0.12889105081558228,0.1542579084634781,1.0
78,BasicModelSmall_256dim_0.73ts_79seed_combined,79,0.73,9999,0.14579255878925323,0.06757413595914841,0.1065593734383583,1.0
79,BasicModelSmall_256dim_0.73ts_80seed_combined,80,0.73,9999,0.03976721689105034,0.05908203125,0.0493917278945446,1.0
80,BasicModelSmall_256dim_0.73ts_81seed_combined,81,0.73,9999,0.31661751866340637,0.1288461536169052,0.22168207168579102,0.9999999403953552
81,BasicModelSmall_256dim_0.74ts_82seed_combined,82,0.74,9999,0.030288226902484894,0.050872091203927994,0.04062271863222122,1.0
82,BasicModelSmall_256dim_0.74ts_83seed_combined,83,0.74,9999,0.10469667613506317,0.03648583963513374,0.07026895880699158,0.9999999403953552
83,BasicModelSmall_256dim_0.74ts_84seed_combined,84,0.74,9999,0.24304890632629395,0.11410688608884811,0.17871727049350739,1.0
84,BasicModelSmall_256dim_0.74ts_85seed_combined,85,0.74,9999,0.001882352982647717,0.050412021577358246,0.025787966325879097,1.0
85,BasicModelSmall_256dim_0.74ts_86seed_combined,86,0.74,9999,0.04213620722293854,0.047342993319034576,0.044757965952157974,1.0
86,BasicModelSmall_256dim_0.75ts_87seed_combined,87,0.75,9999,0.07721459120512009,0.1729106605052948,0.12473168969154358,1.0
87,BasicModelSmall_256dim_0.75ts_88seed_combined,88,0.75,9999,0.001893043052405119,0.03265499323606491,0.01727401837706566,1.0
88,BasicModelSmall_256dim_0.75ts_89seed_combined,89,0.75,9999,0.0009380863048136234,0.040208134800195694,0.020489873364567757,1.0
89,BasicModelSmall_256dim_0.75ts_90seed_combined,90,0.75,9999,0.0,0.040281031280756,0.02006532996892929,1.0
90,BasicModelSmall_256dim_0.75ts_91seed_combined,91,0.75,9999,0.0018894661916419864,0.03503787890076637,0.01844407618045807,1.0
91,BasicModelSmall_256dim_0.76ts_92seed_combined,92,0.76,9999,0.0,0.03783278912305832,0.01881970278918743,1.0
92,BasicModelSmall_256dim_0.76ts_93seed_combined,93,0.76,9999,0.0,0.03189493343234062,0.015981197357177734,1.0
93,BasicModelSmall_256dim_0.76ts_94seed_combined,94,0.76,9999,0.0,0.0364055298268795,0.018312470987439156,1.0
94,BasicModelSmall_256dim_0.76ts_95seed_combined,95,0.76,9999,0.006155303213745356,0.03637222573161125,0.02128162793815136,1.0
95,BasicModelSmall_256dim_0.76ts_96seed_combined,96,0.76,9999,0.00894117634743452,0.03795688971877098,0.02347968891263008,1.0
