n,z,excess
87,52,-60205.080
86,53,-68470.964
85,54,-75644.586
84,55,-80701.088
83,56,-84913.918
82,57,-87222.381
81,58,-86957.741
80,59,-84828.652
79,60,-82016.930
78,61,-77501.028
77,62,-72380.229
76,63,-65398.051
88,52,-56367.449
87,53,-63606.223
86,54,-72986.461
85,55,-77049.738
84,56,-83267.905
83,57,-84312.059
82,58,-88074.227
81,59,-84686.227
80,60,-84257.246
79,61,-78212.046
78,62,-75455.945
77,63,-66985.945
76,64,-61782.278
75,65,-50482.278
88,53,-59926.666
87,54,-68197.309
86,55,-74477.351
85,56,-79732.492
84,57,-82929.844
83,58,-85431.058
82,59,-86014.533
81,60,-84191.520
80,61,-80522.932
79,62,-75933.959
78,63,-69925.647
77,64,-63224.231
76,65,-54540.843
89,53,-54802.969
88,54,-65229.648
87,55,-70514.556
86,56,-77842.257
85,57,-80023.950
84,58,-84532.896
83,59,-83786.367
82,60,-85950.055
81,61,-81141.536
80,62,-78981.930
79,63,-71308.930
78,64,-66959.522
77,65,-56559.522
89,54,-60202.882
88,55,-67675.519
87,56,-73937.205
86,57,-78171.467
85,58,-81606.378
84,59,-83068.200
83,60,-84002.310
82,61,-82960.664
81,62,-79517.135
80,63,-74241.311
79,64,-68231.311
78,65,-60419.192
77,66,-52168.949
90,54,-56872.301
89,55,-63271.362
88,56,-71767.130
87,57,-74849.660
86,58,-80431.942
85,59,-80750.588
84,60,-83748.028
83,61,-81416.116
82,62,-81965.626
81,63,-75619.175
80,64,-71759.511
79,65,-62368.188
78,66,-56570.091
77,67,-44609.521
91,54,-51493.337
90,55,-60054.424
89,56,-67516.183
88,57,-72835.325
87,58,-77067.059
86,59,-79625.990
85,60,-81432.004
84,61,-81267.506
83,62,-80651.407
82,63,-77991.524
81,64,-72926.626
80,65,-66399.693
