n,z,excess
37,27,-59792.329
36,28,-67098.921
35,29,-65424.545
34,30,-66004.014
33,31,-58832.821
32,32,-54315.496
40,25,-40967.339
39,26,-51217.895
38,27,-59185.198
37,28,-65125.685
36,29,-67263.660
35,30,-65912.019
34,31,-62657.507
33,32,-56478.216
32,33,-46937.051
41,25,-36750.387
40,26,-50067.839
39,27,-56408.533
38,28,-66006.285
37,29,-66258.272
36,30,-68899.160
35,31,-63723.660
34,32,-61607.032
33,33,-52025.077
41,26,-45610.155
40,27,-55321.775
39,28,-63742.680
38,29,-67319.513
37,30,-67880.313
36,31,-66879.048
35,32,-62658.230
34,33,-56587.225
33,34,-46580.289
42,26,-43486.914
41,27,-51930.665
40,28,-63463.814
39,29,-65567.035
38,30,-70007.092
37,31,-67085.992
36,32,-66978.789
35,33,-58894.519
34,34,-54189.441
42,27,-50279.157
41,28,-59978.648
40,29,-65736.213
39,30,-68417.845
38,31,-69327.809
37,32,-67100.663
36,33,-63112.171
35,34,-56434.706
34,35,-46259.470
42,28,-59213.860
41,29,-62976.373
40,30,-69564.735
39,31,-68910.140
38,32,-70561.876
37,33,-64341.876
36,34,-61929.891
35,35,-51425.619
44,27,-44369.926
43,28,-55406.228
42,29,-62711.127
41,30,-67328.777
40,31,-70139.135
39,32,-69906.497
38,33,-67893.097
37,34,-63146.507
36,35,-56502.418
35,36,-46327.205
44,28,-54226.060
43,29,-59782.999
42,30,-68145.486
41,31,-68588.293
40,32,-72585.900
39,33,-68229.798
38,34,-67868.180
37,35,-59061.743
36,36,-53940.575
45,28,-50108.152
44,29,-58987.437
43,30,-65593.402
42,31,-69699.335
41,32,-71297.523
40,33,-70952.747
39,34,-68227.387
38,35,-63647.475
37,36,-56551.751
45,29,-56006.205
44,30,-65756.712
43,31,-68049.617
42,32,-73422.442
41,33,-70860.054
40,34,-72213.201
39,35,-65288.153
38,36,-62331.836
37,37,-51916.009
46,29,-54471.341
45,30,-62558.908
44,31,-68464.580
43,32,-71856.965
42,33,-73034.195
41,34,-72169.481
40,35,-69107.009
39,36,-64323.624
38,37,-57218.694
37,38,-46618.694
47,29,-50975.985
46,30,-62303.016
45,31,-66296.640
44,32,-73212.889
43,33,-72291.377
42,34,-75251.950
41,35,-70289.068
40,36,-69013.714
39,37,-60479.081
38,38,-54247.639
47,30,-58789.195
46,31,-65992.344
45,32,-71212.862
44,33,-73916.318
43,34,-74599.488
42,35,-73234.809
41,36,-70169.443
40,37,-64830.492
39,38,-57803.436
49,29,-44497.469
48,30,-57483.235
47,31,-63705.950
46,32,-71862.050
45,33,-72816.940
44,34,-77025.944
43,35,-73452.160
42,36,-74178.275
41,37,-66935.419
40,38,-63173.941
49,30,-53432.295
48,31,-62547.679
47,32,-69526.592
46,33,-73636.049
45,34,-75917.459
