nucid,n,z,mass_excess,mass_excess_num,mass_excess_unc,mass_excess_sys,mass_excess_round,mass_excess_round_unc,binding,binding_num,binding_unc,binding_sys,binding_round,binding_round_unc,beta_decay_en_round,beta_decay_en_round_unc,beta_decay_en,beta_decay_en_num,beta_decay_en_unc,beta_decay_en_sys,atomic_mass,atomic_mass_num,atomic_mass_unc,atomic_mass_sys,atomic_mass_round,atomic_mass_round_unc,s2n,s2n_num,s2n_unc,s2n_round,s2n_round_unc,s2n_sys,s2p,s2p_num,s2p_unc,s2p_round,s2p_round_unc,s2p_sys,qa,qa_num,qa_unc,qa_round,qa_round_unc,qa_sys,q2bm,q2bm_num,q2bm_unc,q2bm_round,q2bm_round_unc,q2bm_sys,qep,qep_num,qep_unc,qep_round,qep_round_unc,qep_sys,qbmn,qbmn_num,qbmn_unc,qbmn_round,qbmn_round_unc,qbmn_sys,sn,sn_num,sn_unc,sn_round,sn_round_unc,sn_sys,sp,sp_num,sp_unc,sp_round,sp_round_unc,sp_sys,q4bm,q4bm_num,q4bm_unc,q4bm_round,q4bm_round_unc,q4bm_sys,qda,qda_num,qda_unc,qda_round,qda_round_unc,qda_sys,qpa,qpa_num,qpa_unc,qpa_round,qpa_round_unc,qpa_sys,qna,qna_num,qna_unc,qna_round,qna_round_unc,qna_sys,qec_num,qec_unc,qec_round,qec_round_unc,qec
126RH,81,45,-37200,-37200,500,Y,-37200,500,8087,8087,4,Y,8087,4,14590,640,14590,14590,640,Y,125960064,125960064,537,Y,125960060,540,8633,8633,640,8633,640,Y,NULL,NULL,NULL,NULL,NULL,NULL,-13320,-13320,583,-13320,583,Y,23520,23520,539,23520,539,Y,NULL,NULL,NULL,NULL,NULL,NULL,8688,8688,640,8688,640,Y,3442,3442,707,3442,707,Y,16120,16120,583,16120,583,Y,7100,7100,781,7100,781,Y,4214,4214,707,4214,707,Y,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
126PD,80,46,-51790,-51790,400,Y,-51790,400,8197,8197,3,Y,8197,3,8930,450,8930,8930,447,Y,125944401,125944401,429,Y,125944400,430,9533,9533,500,9533,500,Y,32778,32778,721,32778,721,Y,-12435,-12435,640,-12435,640,Y,20466,20466,400,20466,400,Y,-30710,-30710,500,-30710,500,Y,4658,4658,589,4658,589,Y,5902,5902,565,5902,565,Y,17249,17249,640,17249,640,Y,3631,3631,565,3631,565,Y,2264,2264,565,2264,565,Y,-9594,-9594,640,-9594,640,Y,NULL,NULL,NULL,NULL,NULL,NULL,-14590,640.3,-14590,640,-14590.0
126AG,79,47,-60720,-60720,200,Y,-60720,200,8261,8261,2,Y,8261,2,11540,200,11535,11535,200,Y,125934814,125934814,215,Y,125934810,220,10633,10633,322,10633,322,Y,30588,30588,447,30588,447,Y,-11266,-11266,361,-11266,361,Y,17089,17089,200,17089,200,Y,-26180,-26180,539,-26180,539,Y,4556,4556,200,4556,200,Y,4272,4272,477,4272,477,Y,14050,14050,447,14050,447,Y,8390,8390,361,8390,361,Y,4573,4573,814,4573,814,Y,-5884,-5884,447,-5884,447,Y,NULL,NULL,NULL,NULL,NULL,NULL,-8930,447.2,-8930,447,-8930.0
126CD,78,48,-72255.727,-72255.727,2.304,N,-72255.7,2.3,8346.7393,8346.7393,0.0183,N,8346.739,0.018,5554,5,5553.6500,5553.65,4.7831,N,125922430.290,125922430.29,2.473,N,125922430.3,2.5,11698.9267,11698.9267,3.4803,11699,3,N,28434,28434,300,28434,300,Y,-10064.4740,-10064.474,19.6966,-10064,20,N,13759.4085,13759.4085,10.9331,13759,11,N,-25585,-25585,400,-25585,400,Y,85.2627,85.2627,2.9051,85.3,2.9,N,6978.9550,6978.955,3.6940,6979,4,N,15024.7591,15024.7591,433.1509,15025,433,N,4685.0306,4685.0306,251.5140,4685,252,N,2176.9089,2176.9089,32.6836,2177,33,N,-6179.5764,-6179.5764,789.4446,-6180,789,N,NULL,NULL,NULL,NULL,NULL,NULL,-11535.727,200.013,-11536,200,-11535.727
126IN,77,49,-77809.377,-77809.377,4.192,N,-77809,4,8384.6067,8384.6067,0.0333,N,8384.61,0.03,8206,11,8205.7585,8205.7585,11.4802,N,125916468.202,125916468.202,4.500,N,125916468,5,13084.2348,13084.2348,30.8467,13084,31,N,26157.3685,26157.3685,251.5383,26157,252,N,-9128.1749,-9128.1749,38.4206,-9128,38,N,8583.7585,8583.7585,32.1216,8584,32,N,-20578.4091,-20578.4091,433.1650,-20578,433,N,12.9622,12.9622,4.3973,13,4,N,5468.3873,5468.3873,4.5500,5468,5,N,11750.2580,11750.258,5.0901,11750,5,N,9600.8664,9600.8664,4.9372,9601,5,N,4468.8615,4468.8615,4.9838,4469,5,N,-2594.3941,-2594.3941,32.8707,-2594,33,N,NULL,NULL,NULL,NULL,NULL,NULL,-5553.65,4.78,-5554,5,-5553.65
126SN,76,50,-86015.135,-86015.135,10.688,N,-86015,11,8443.5227,8443.5227,0.0848,N,8443.52,0.08,378,30,378.0000,378,30.0000,N,125907658.958,125907658.958,11.473,N,125907659,11,13926.2962,13926.2962,10.6066,13926,11,N,23893.6412,23893.6412,11.0011,23894,11,N,-7827.6671,-7827.6671,10.9321,-7828,11,N,4049.0321,4049.0321,10.6141,4049,11,N,-19956.0165,-19956.0165,11.0709,-19956,11,N,-5831.3597,-5831.3597,10.8237,-5831,11,N,8192.7963,8192.7963,10.6085,8193,11,N,12891.7988,12891.7988,10.8332,12892,11,N,5563.4499,5563.4499,32.3548,5563,32,N,2277.9533,2277.9533,22.4894,2278,22,N,-2954.5500,-2954.55,11.0219,-2955,11,N,NULL,NULL,NULL,NULL,NULL,NULL,-8205.758,11.481,-8206,11,-8205.758
126SB,75,51,-86393.135,-86393.135,31.847,N,-86390,30,8440.3136,8440.3136,0.2528,N,8440.31,0.25,3670,30,3671.0321,3671.0321,31.8223,N,125907253.158,125907253.158,34.189,N,125907250,30,14916.7029,14916.7029,31.8224,14917,32,N,20103.2992,20103.2992,44.1229,20103,44,N,-5246.6906,-5246.6906,59.3150,-5247,59,N,1517.3609,1517.3609,32.0322,1517,32,N,-13269.7988,-13269.7988,31.8960,-13270,32,N,-5442.6597,-5442.6597,31.8222,-5443,32,N,6209.3597,6209.3597,31.8928,6209,32,N,7788.4493,7788.4493,31.8204,7788,32,N,12549.1469,12549.1469,31.8198,12549,32,N,6285.6023,6285.6023,31.9100,6286,32,N,2682.3003,2682.3003,37.4936,2682,37,N,NULL,NULL,NULL,NULL,NULL,NULL,-378,33.5,-378,34,-378.0
126TE,74,52,-90064.168,-90064.168,1.354,N,-90064.2,1.4,8463.2397,8463.2397,0.0107,N,8463.240,0.011,-2154,4,-2153.6712,-2153.6712,3.6717,N,125903312.144,125903312.144,1.453,N,125903312.1,1.5,15682.6621,15682.6621,0.0854,15682.66,0.09,N,16410.6344,16410.6344,0.3976,16410.6,0.4,N,-2549.1306,-2549.1306,2.4240,-2549.1,2.4,N,-917.7807,-917.7807,1.3536,-917.8,1.4,N,-11459.4814,-11459.4814,0.4451,-11459.5,0.4,N,-9299.4618,-9299.4618,0.1000,-9299.46,0.10,N,9113.6918,9113.6918,0.0800,9113.69,0.08,N,9098.0448,9098.0448,2.1228,9098.0,2.1,N,8265.7081,8265.7081,0.1570,8265.71,0.16,N,4022.7781,4022.7781,0.1438,4022.78,0.14,N,3396.9171,3396.9171,2.4196,3396.9,2.4,N,NULL,NULL,NULL,NULL,NULL,NULL,-3671.033,31.876,-3671,32,-3671.033
126I,73,53,-87910.496,-87910.496,3.778,N,-87910,4,8439.9379,8439.9379,0.0300,N,8439.938,0.030,1236,4,1235.8904,1235.8904,3.7779,N,125905624.205,125905624.205,4.055,N,125905624,4,16688.5778,16688.5778,4.1161,16689,4,N,14869.3698,14869.3698,3.6745,14869,4,N,-2001.2077,-2001.2077,4.2415,-2001,4,N,-3559.8135,-3559.8135,11.0261,-3560,11,N,-6944.3736,-6944.3736,4.2408,-6944,4,N,-8782.4538,-8782.4538,3.6961,-8782,4,N,7145.7906,7145.7906,3.6726,7146,4,N,6177.6736,6177.6736,3.6721,6178,4,N,13324.4523,13324.4523,3.6722,13324,4,N,6124.5364,6124.5364,3.6734,6125,4,N,6958.7962,6958.7962,3.6740,6959,4,N,NULL,NULL,NULL,NULL,NULL,NULL,2153.672,4.013,2154,4,2153.672
126XE,72,54,-89146.38687,-89146.38687,0.00562,N,-89146.387,0.006,8443.5375,8443.5375,0.0003,N,8443.538,"0.5 eV",-4796,10,-4795.7039,-4795.7039,10.3587,N,125904297.422,125904297.422,0.006,N,125904297.422,0.006,17621.6181,17621.6181,1.3579,17621.6,1.4,N,13200.1873,13200.1873,1.3517,13200.2,1.4,N,-1258.0209,-1258.0209,1.3571,-1258.0,1.4,N,-6476.4736,-6476.4736,12.4973,-6476,12,N,-7413.5641,-7413.5641,1.3519,-7413.6,1.4,N,-13127.9627,-13127.9627,7.7359,-13128,8,N,10018.3442,10018.3442,1.4148,10018.3,1.4,N,7599.3341,7599.3341,1.3532,7599.3,1.4,N,8928.9749,8928.9749,2.2987,8929.0,2.3,N,3660.2562,3660.2562,3.6858,3660,4,N,5670.9930,5670.993,1.3548,5671.0,1.4,N,NULL,NULL,NULL,NULL,NULL,NULL,-1235.891,3.778,-1236,4,-1235.891
