nucid,n,z,mass_excess,mass_excess_num,mass_excess_unc,mass_excess_sys,mass_excess_round,mass_excess_round_unc,binding,binding_num,binding_unc,binding_sys,binding_round,binding_round_unc,beta_decay_en_round,beta_decay_en_round_unc,beta_decay_en,beta_decay_en_num,beta_decay_en_unc,beta_decay_en_sys,atomic_mass,atomic_mass_num,atomic_mass_unc,atomic_mass_sys,atomic_mass_round,atomic_mass_round_unc,s2n,s2n_num,s2n_unc,s2n_round,s2n_round_unc,s2n_sys,s2p,s2p_num,s2p_unc,s2p_round,s2p_round_unc,s2p_sys,qa,qa_num,qa_unc,qa_round,qa_round_unc,qa_sys,q2bm,q2bm_num,q2bm_unc,q2bm_round,q2bm_round_unc,q2bm_sys,qep,qep_num,qep_unc,qep_round,qep_round_unc,qep_sys,qbmn,qbmn_num,qbmn_unc,qbmn_round,qbmn_round_unc,qbmn_sys,sn,sn_num,sn_unc,sn_round,sn_round_unc,sn_sys,sp,sp_num,sp_unc,sp_round,sp_round_unc,sp_sys,q4bm,q4bm_num,q4bm_unc,q4bm_round,q4bm_round_unc,q4bm_sys,qda,qda_num,qda_unc,qda_round,qda_round_unc,qda_sys,qpa,qpa_num,qpa_unc,qpa_round,qpa_round_unc,qpa_sys,qna,qna_num,qna_unc,qna_round,qna_round_unc,qna_sys,qec_num,qec_unc,qec_round,qec_round_unc,qec
70GE,38,32,-70562.036,-70562.036,0.820,N,-70562.0,0.8,8721.7028,8721.7028,0.0117,N,8721.703,0.012,-6228.1,1.6,-6228.0630,-6228.063,1.6200,N,69924248.542,69924248.542,0.880,N,69924248.5,0.9,19725.8735,19725.8735,2.0476,19725.9,2.0,N,15132.8240,15132.824,1.0477,15132.8,1.0,N,-4087.7235,-4087.7235,1.0276,-4087.7,1.0,N,-8632.1366,-8632.1366,1.7832,-8632.1,1.8,N,-9433.1010,-9433.101,1.0599,-9433.1,1.1,N,-15521.1729,-15521.1729,32.0098,-15521,32,N,11532.6802,11532.6802,1.5500,11532.7,1.6,N,8523.1877,8523.1877,1.4492,8523.2,1.4,N,7234.8251,7234.8251,1.5930,7234.8,1.6,N,1181.1749,1181.1749,1.1586,1181.2,1.2,N,2964.7420,2964.742,1.0302,2964.7,1.0,N,NULL,NULL,NULL,NULL,NULL,NULL,-1651.886,1.454,-1651.9,1.5,-1651.886
70AS,37,33,-64333.973,-64333.973,1.397,N,-64334.0,1.4,8621.5541,8621.5541,0.0200,N,8621.554,0.020,-2404.1,2.1,-2404.0737,-2404.0737,2.1118,N,69930934.642,69930934.642,1.500,N,69930934.6,1.5,21582.0820,21582.082,2.3150,21582.1,2.3,N,11825.8610,11825.861,1.9996,11825.9,2.0,N,-3035.1605,-3035.1605,1.7736,-3035.2,1.8,N,-12908.3463,-12908.3463,14.9693,-12908,15,N,-2295.1247,-2295.1247,1.8401,-2295.1,1.8,N,-15970.5771,-15970.5771,2.0428,-15970.6,2.0,N,9293.1099,9293.1099,32.0299,9293,32,N,4522.2702,4522.2702,1.9205,4522.3,1.9,N,13355.6326,13355.6326,2.3394,13355.6,2.3,N,3203.7999,3203.7999,4.5396,3204,5,N,8191.5849,8191.5849,1.8265,8191.6,1.8,N,NULL,NULL,NULL,NULL,NULL,NULL,6228.063,1.62,6228.1,1.6,6228.063
70SE,36,34,-61929.900,-61929.9,1.584,N,-61929.9,1.6,8576.0338,8576.0338,0.0226,N,8576.034,0.023,-10504,15,-10504.2727,-10504.2727,14.9878,N,69933515.521,69933515.521,1.700,N,69933515.5,1.7,23883.0869,23883.0869,1.6593,23883.1,1.7,N,9529.0429,9529.0429,2.4552,9529.0,2.5,N,-2747.7748,-2747.7748,2.8760,-2747.8,2.9,N,-20830,-20830,200,-20830,200,Y,-2118.1966,-2118.1966,2.0600,-2118.2,2.1,N,-23741.7399,-23741.7399,42.0328,-23742,42,N,13566.5034,13566.5034,2.1744,13566.5,2.2,N,6106.6893,6106.6893,32.0386,6107,32,N,7675.4348,7675.4348,2.4320,7675.4,2.4,N,-478.6123,-478.6123,1.6442,-478.6,1.6,N,6390.2206,6390.2206,4.6003,6390,5,N,NULL,NULL,NULL,NULL,NULL,NULL,2404.073,2.112,2404.1,2.1,2404.073
70BR,35,35,-51425.627,-51425.627,14.904,N,-51426,15,8414.7964,8414.7964,0.2129,N,8414.80,0.21,-10325,201,-10325,-10325,201,Y,69944792.321,69944792.321,16.000,N,69944792,16,28777,28777,259,28777,259,Y,7109.0417,7109.0417,15.0178,7109,15,N,-1825.4591,-1825.4591,15.9503,-1825,16,N,NULL,NULL,NULL,NULL,NULL,NULL,4397.5834,4397.5834,35.3000,4398,35,N,-27357,-27357,300,-27357,300,Y,13237.4672,13237.4672,44.5687,13237,45,N,2279.8837,2279.8837,14.9782,2280,15,N,13474.6289,13474.6289,14.9121,13475,15,N,18.7224,18.7224,68.7036,19,69,N,10808.0074,10808.0074,14.9105,10808,15,N,NULL,NULL,NULL,NULL,NULL,NULL,10504.273,14.988,10504,15,10504.273
70KR,34,36,-41100,-41100,200,Y,-41100,200,8256,8256,3,Y,8256,3,NULL,NULL,NULL,NULL,NULL,NULL,69955877,69955877,215,Y,69955880,220,31617,31617,539,31617,539,Y,1489,1489,200,1489,200,Y,-1865,-1865,283,-1865,283,Y,NULL,NULL,NULL,NULL,NULL,NULL,8045,8045,200,8045,200,Y,NULL,NULL,NULL,NULL,NULL,NULL,17031,17031,361,17031,361,Y,2130,2130,205,2130,205,Y,8402,8402,327,8402,327,Y,-3707,-3707,361,-3707,361,Y,11126,11126,211,11126,211,Y,NULL,NULL,NULL,NULL,NULL,NULL,10325.627,200.555,10326,201,10325.627
71MN,46,25,-16620,-16620,500,Y,-16620,500,8030,8030,7,Y,8030,7,15310,640,15310,15310,640,Y,70982158,70982158,537,Y,70982160,540,7402,7402,640,7402,640,Y,NULL,NULL,NULL,NULL,NULL,NULL,-17301,-17301,781,-17301,781,Y,27750,27750,683,27750,683,Y,NULL,NULL,NULL,NULL,NULL,NULL,12199,12199,583,12199,583,Y,4241,4241,707,4241,707,Y,18268,18268,781,18268,781,Y,3721,3721,707,3721,707,Y,3934,3934,707,3934,707,Y,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
71FE,45,26,-31930,-31930,400,Y,-31930,400,8235,8235,6,Y,8235,6,12440,610,12440,12440,613,Y,70965722,70965722,429,Y,70965720,430,8873,8873,447,8873,447,Y,36878,36878,640,36878,640,Y,-15085,-15085,565,-15085,565,Y,23476,23476,400,23476,400,Y,-33579,-33579,721,-33579,721,Y,6524,6524,400,6524,400,Y,3111,3111,500,3111,500,Y,18769,18769,640,18769,640,Y,4141,4141,565,4141,565,Y,1854,1854,500,1854,500,Y,-10593,-10593,640,-10593,640,Y,NULL,NULL,NULL,NULL,NULL,NULL,-15310,640.3,-15310,640,-15310.0
71CO,44,27,-44369.930,-44369.93,465.030,N,-44370,470,8398.7344,8398.7344,6.5497,N,8399,7,11040,470,11036.3053,11036.3053,465.0353,N,70952366.923,70952366.923,499.230,N,70952370,500,10127.1189,10127.1189,472.8604,10127,473,N,33588,33588,613,33588,613,Y,-13214,-13214,506,-13214,506,Y,18341.2042,18341.2042,465.0324,18341,465,N,-31209,-31209,683,-31209,683,Y,6772.6200,6772.62,465.0349,6773,465,N,5916.2850,5916.285,465.1598,5916,465,N,14769,14769,553,14769,553,Y,5540,5540,506,5540,506,Y,4391,4391,503,4391,503,Y,-9803,-9803,553,-9803,553,Y,NULL,NULL,NULL,NULL,NULL,NULL,-12439.93,613.39,-12440,613,-12439.93
71NI,43,28,-55406.236,-55406.236,2.237,N,-55406.2,2.2,8543.1564,8543.1564,0.0315,N,8543.16,0.03,7304.9,2.7,7304.8989,7304.8989,2.6879,N,70940518.962,70940518.962,2.401,N,70940519.0,2.4,11570.2158,11570.2158,4.3458,11570,4,N,30785,30785,200,30785,200,Y,-12122.7358,-12122.7358,4.4260,-12123,4,N,11922.5506,11922.5506,3.4708,11923,3,N,-25805,-25805,300,-25805,300,Y,-501.1730,-501.173,2.4846,-501.2,2.5,N,4263.6853,4263.6853,3.0964,4264,3,N,16170.2433,16170.2433,11.2169,16170,11,N,5690.0190,5690.019,85.7266,5690,86,N,1100.4102,1100.4102,4.4602,1100,4,N,-5863,-5863,193,-5863,193,Y,NULL,NULL,NULL,NULL,NULL,NULL,-11036.306,465.035,-11036,465,-11036.306
71CU,42,29,-62711.134,-62711.134,1.490,N,-62711.1,1.5,8635.0233,8635.0233,0.0210,N,8635.023,0.021,4618,3,4617.6517,4617.6517,3.0437,N,70932676.831,70932676.831,1.600,N,70932676.8,1.6,13117.5496,13117.5496,2.0429,13117.5,2.0,N,26903.6291,26903.6291,85.7104,26904,86,N,-9814.2669,-9814.2669,6.6133,-9814,7,N,7427.9922,7427.9922,1.6967,7428.0,1.7,N,-23475.1422,-23475.1422,11.0922,-23475,11,N,-1217.7045,-1217.7045,2.4288,-1217.7,2.4,N,7806.0719,7806.0719,1.8415,7806.1,1.8,N,10786.2372,10786.2372,2.6109,10786.2,2.6,N,7978.3285,7978.3285,4.0130,7978,4,N,5616.7431,5616.7431,3.3326,5617,3,N,-5422.1417,-5422.1417,4.1366,-5422,4,N,NULL,NULL,NULL,NULL,NULL,NULL,-7304.898,2.688,-7304.9,2.7,-7304.898
71ZN,41,30,-67328.786,-67328.786,2.654,N,-67328.8,2.7,8689.0417,8689.0417,0.0374,N,8689.04,0.04,2810.3,2.8,2810.3405,2810.3405,2.7748,N,70927719.578,70927719.578,2.849,N,70927719.6,2.8,15053.5160,15053.516,2.7689,15053.5,2.8,N,21928.0724,21928.0724,4.5745,21928,5,N,-6011.0138,-6011.0138,3.9219,-6011,4,N,2577.8707,2577.8707,2.7759,2577.9,2.8,N,-15403.8889,-15403.8889,3.4115,-15404,3,N,-6489.9540,-6489.954,2.8809,-6490.0,2.9,N,5835.3561,5835.3561,3.1944,5835,3,N,11641.3766,11641.3766,2.8658,11641.4,2.9,N,9118.2418,9118.2418,2.9992,9118,3,N,3102.3120,3102.312,3.0904,3102,3,N,1781.4385,1781.4385,3.9910,1781,4,N,NULL,NULL,NULL,NULL,NULL,NULL,-4617.652,3.044,-4618,3,-4617.652
71GA,40,31,-70139.127,-70139.127,0.811,N,-70139.1,0.8,8717.6050,8717.605,0.0114,N,8717.605,0.011,-232.47,0.09,-232.4698,-232.4698,0.0934,N,70924702.554,70924702.554,0.870,N,70924702.6,0.9,16953.9431,16953.9431,1.4442,16953.9,1.4,N,18980.8479,18980.8479,1.6155,18980.8,1.6,N,-5244.4890,-5244.489,1.1615,-5244.5,1.2,N,-2245.8698,-2245.8698,4.0836,-2246,4,N,-14451.7171,-14451.7171,1.3519,-14451.7,1.4,N,-7648.4085,-7648.4085,0.1411,-7648.41,0.14,N,9300.2946,9300.2946,1.4471,9300.3,1.4,N,7863.3497,7863.3497,2.0783,7863.3,2.1,N,8989.5867,8989.5867,1.0552,8989.6,1.1,N,4732.0829,4732.0829,1.0430,4732.1,1.0,N,1074.3185,1074.3185,1.7791,1074.3,1.8,N,NULL,NULL,NULL,NULL,NULL,NULL,-2810.341,2.775,-2810.3,2.8,-2810.341
71GE,39,32,-69906.657,-69906.657,0.815,N,-69906.7,0.8,8703.3118,8703.3118,0.0115,N,8703.312,0.011,-2013,4,-2013.4000,-2013.4,4.0825,N,70924952.120,70924952.12,0.874,N,70924952.1,0.9,18948.6188,18948.6188,1.5474,18948.6,1.5,N,16066.6927,16066.6927,1.0573,16066.7,1.1,N,-4451.1966,-4451.1966,1.0276,-4451.2,1.0,N,-6760.1420,-6760.142,2.9109,-6760.1,2.9,N,-7630.8799,-7630.8799,2.0798,-7630.9,2.1,N,-13644.0016,-13644.0016,1.6175,-13644.0,1.6,N,7415.9386,7415.9386,0.1060,7415.94,0.11,N,8285.4778,8285.4778,1.4492,8285.5,1.4,N,10131.9698,10131.9698,1.4464,10132.0,1.4,N,2043.4528,2043.4528,1.5913,2043.5,1.6,N,5746.8997,5746.8997,1.0451,5746.9,1.0,N,NULL,NULL,NULL,NULL,NULL,NULL,232.47,1.15,232.5,1.2,232.47
71AS,38,33,-67893.257,-67893.257,4.163,N,-67893,4,8663.9350,8663.935,0.0586,N,8663.94,0.06,-4747,5,-4746.7420,-4746.742,5.0140,N,70927113.594,70927113.594,4.469,N,70927114,4,20923.7115,20923.7115,32.2690,20924,32,N,13143.3793,13143.3793,4.3311,13143,4,N,-3439.0167,-3439.0167,4.2440,-3439,4,N,-11390.8304,-11390.8304,6.8200,-11391,7,N,-6272.0778,-6272.0778,4.3321,-6272,4,N,-14034.6753,-14034.6753,4.4540,-14035,4,N,11630.6016,11630.6016,4.3912,11631,4,N,4620.1916,4620.1916,4.0839,4620,4,N,9918.2243,9918.2243,4.3659,9918,4,N,3949.5972,3949.5972,4.5663,3950,5,N,4839.1997,4839.1997,4.3817,4839,4,N,NULL,NULL,NULL,NULL,NULL,NULL,2013.4,4.2,2013,4,2013.4
71SE,37,34,-63146.515,-63146.515,2.794,N,-63146.5,2.8,8586.0606,8586.0606,0.0394,N,8586.06,0.04,-6644,6,-6644.0883,-6644.0883,6.0820,N,70932209.431,70932209.431,3.000,N,70932209,3,22854.4366,22854.4366,3.1670,22854,3,N,10623.7828,10623.7828,3.0895,10624,3,N,-2897.7126,-2897.7126,5.1444,-2898,5,N,-16819.3038,-16819.3038,128.7989,-16819,129,N,126.5504,126.5504,2.9123,126.6,2.9,N,-19792.2059,-19792.2059,15.1636,-19792,15,N,9287.9332,9287.9332,3.2120,9288,3,N,6101.5126,6101.5126,3.1243,6102,3,N,10676.4737,10676.4737,32.1212,10676,32,N,612.0678,612.0678,3.3491,612,3,N,9478.6863,9478.6863,3.3660,9479,3,N,NULL,NULL,NULL,NULL,NULL,NULL,4746.742,5.014,4747,5,4746.742
71BR,36,35,-56502.426,-56502.426,5.402,N,-56502,5,8481.4629,8481.4629,0.0761,N,8481.46,0.08,-10175,129,-10175.2155,-10175.2155,128.8452,N,70939342.153,70939342.153,5.799,N,70939342,6,26385.5848,26385.5848,42.3489,26386,42,N,7968.1872,7968.1872,32.4522,7968,32,N,-2340.1101,-2340.1101,5.4201,-2340,5,N,-24212,-24212,400,-24212,400,Y,542.5758,542.5758,5.5798,543,6,N,-23473,-23473,200,-23473,200,Y,13148.1176,13148.1176,15.8527,13148,16,N,1861.4979,1861.4979,5.6293,1861,6,N,10643.0948,10643.0948,5.6038,10643,6,N,2551.0776,2551.0776,5.4247,2551,5,N,8038.5031,8038.5031,5.7087,8039,6,N,NULL,NULL,NULL,NULL,NULL,NULL,6644.089,6.082,6644,6,6644.089
71KR,35,36,-46327.211,-46327.211,128.769,N,-46330,130,8327.1310,8327.131,1.8136,N,8327.1,1.8,-14037,420,-14037,-14037,420,Y,70950265.695,70950265.695,138.238,N,70950270,140,30330,30330,326,30330,326,Y,4470.4389,4470.4389,128.7772,4470,129,N,-2171.8328,-2171.8328,145.1875,-2172,145,N,NULL,NULL,NULL,NULL,NULL,NULL,8313.7176,8313.7176,128.7783,8314,129,N,NULL,NULL,NULL,NULL,NULL,NULL,13298,13298,238,13298,238,Y,2190.5551,2190.5551,129.6282,2191,130,N,10643.0739,10643.0739,135.4459,10643,135,N,-2672,-2672,289,-2672,289,Y,13508.6400,13508.64,128.7695,13509,129,N,NULL,NULL,NULL,NULL,NULL,NULL,10175.215,128.882,10175,129,10175.215
72MN,47,25,-11170,-11170,600,Y,-11170,600,7955,7955,8,Y,7955,8,18080,780,18080,18080,781,Y,71988009,71988009,644,Y,71988010,640,6862,6862,781,6862,781,Y,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,29131,29131,671,29131,671,Y,NULL,NULL,NULL,NULL,NULL,NULL,12689,12689,721,12689,721,Y,2621,2621,781,2621,781,Y,NULL,NULL,NULL,NULL,NULL,NULL,5181,5181,848,5181,848,Y,3324,3324,781,3324,781,Y,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
72FE,46,26,-29250,-29250,500,Y,-29250,500,8195,8195,7,Y,8195,7,11050,580,11050,11050,583,Y,71968599,71968599,537,Y,71968600,540,8503,8503,583,8503,583,Y,38188,38188,781,38188,781,Y,-15985,-15985,707,-15985,707,Y,24976,24976,500,24976,500,Y,NULL,NULL,NULL,NULL,NULL,NULL,7049,7049,683,7049,683,Y,5391,5391,640,5391,640,Y,19919,19919,707,19919,707,Y,1911,1911,707,1911,707,Y,974,974,640,974,640,Y,-13974,-13974,707,-13974,707,Y,NULL,NULL,NULL,NULL,NULL,NULL,-18080,781.0,-18080,781,-18080.0
72CO,45,27,-40300,-40300,300,Y,-40300,300,8338,8338,4,Y,8338,4,13930,300,13926,13926,300,Y,71956736,71956736,322,Y,71956740,320,9918,9918,300,9918,300,Y,34428,34428,583,34428,583,Y,-13805,-13805,424,-13805,424,Y,19483,19483,300,19483,300,Y,-30969,-30969,583,-30969,583,Y,7035,7035,300,7035,300,Y,4002,4002,553,4002,553,Y,15659,15659,500,15659,500,Y,7301,7301,424,7301,424,Y,3763,3763,361,3763,361,Y,-9294,-9294,500,-9294,500,Y,NULL,NULL,NULL,NULL,NULL,NULL,-11050,583.0,-11050,583,-11050.0
72NI,44,28,-54226.068,-54226.068,2.237,N,-54226.1,2.2,8520.2118,8520.2118,0.0311,N,8520.21,0.03,5556.9,2.6,5556.9381,5556.9381,2.6374,N,71941785.924,71941785.924,2.401,N,71941785.9,2.4,11154.8361,11154.8361,3.0964,11155,3,N,31914,31914,300,31914,300,Y,-12754,-12754,193,-12754,193,Y,13919.4264,13919.4264,3.0974,13919,3,N,-29585,-29585,400,-29585,400,Y,413.7481,413.7481,2.6879,413.7,2.7,N,6891.1508,6891.1508,3.1616,6891,3,N,17145.1091,17145.1091,465.0353,17145,465,N,3009.7021,3009.7021,11.2169,3010,11,N,1023.4344,1023.4344,85.7266,1023,86,N,-9381,-9381,200,-9381,200,Y,NULL,NULL,NULL,NULL,NULL,NULL,-13926.068,300.008,-13926,300,-13926.068
72CU,43,29,-59783.006,-59783.006,1.397,N,-59783.0,1.4,8586.5256,8586.5256,0.0194,N,8586.526,0.019,8362.5,2.6,8362.4883,8362.4883,2.5578,N,71935820.306,71935820.306,1.500,N,71935820.3,1.5,12949.2619,12949.2619,1.7670,12949.3,1.8,N,27835.9851,27835.9851,11.0801,27836,11,N,-10565.3316,-10565.3316,4.1039,-10565,4,N,8805.2775,8805.2775,1.6192,8805.3,1.6,N,-22702.0471,-22702.0471,465.0321,-22702,465,N,-525.5383,-525.5383,2.9992,-526,3,N,5143.1899,5143.1899,2.0429,5143.2,2.0,N,11665.7418,11665.7418,2.6374,11665.7,2.6,N,10141.6690,10141.669,2.5589,10141.7,2.6,N,5059.7048,5059.7048,3.9793,5060,4,N,-3751.1566,-3751.1566,85.7088,-3751,86,N,NULL,NULL,NULL,NULL,NULL,NULL,-5556.938,2.637,-5556.9,2.6,-5556.938
72ZN,42,30,-68145.495,-68145.495,2.142,N,-68145.5,2.1,8691.8053,8691.8053,0.0298,N,8691.805,0.030,442.8,2.3,442.7892,442.7892,2.2934,N,71926842.806,71926842.806,2.300,N,71926842.8,2.3,14723.3827,14723.3827,2.8754,14723.4,2.9,N,23509.5685,23509.5685,3.0308,23510,3,N,-7106.5881,-7106.5881,3.6708,-7107,4,N,4440.4156,4440.4156,2.1438,4440.4,2.1,N,-20028.2301,-20028.2301,3.0973,-20028,3,N,-6077.6860,-6077.686,2.2908,-6077.7,2.3,N,8888.0266,8888.0266,3.4107,8888,3,N,12723.3312,12723.3312,2.6098,12723.3,2.6,N,5541.6930,5541.693,2.4000,5541.7,2.4,N,2454.7815,2454.7815,2.5578,2454.8,2.6,N,-2520.4365,-2520.4365,4.2980,-2520,4,N,NULL,NULL,NULL,NULL,NULL,NULL,-8362.489,2.557,-8362.5,2.6,-8362.489
72GA,41,31,-68588.284,-68588.284,0.818,N,-68588.3,0.8,8687.0893,8687.0893,0.0114,N,8687.089,0.011,3997.6,0.8,3997.6263,3997.6263,0.8217,N,71926367.452,71926367.452,0.878,N,71926367.5,0.9,15820.7698,15820.7698,1.4512,15820.8,1.5,N,20189.8454,20189.8454,1.3562,20189.8,1.4,N,-5446.1568,-5446.1568,1.7824,-5446.2,1.8,N,-358.4756,-358.4756,4.1644,-358,4,N,-13166.1205,-13166.1205,1.7002,-13166.1,1.7,N,-6752.9451,-6752.9451,0.2106,-6752.95,0.21,N,6520.4752,6520.4752,0.1888,6520.48,0.19,N,8548.4688,8548.4688,2.7769,8548.5,2.8,N,11687.2712,11687.2712,2.0812,11687.3,2.1,N,4693.6776,4693.6776,1.0623,4693.7,1.1,N,2794.3393,2794.3393,1.6192,2794.3,1.6,N,NULL,NULL,NULL,NULL,NULL,NULL,-442.789,2.293,-442.8,2.3,-442.789
72GE,40,32,-72585.910,-72585.91,0.076,N,-72585.91,0.08,8731.7459,8731.7459,0.0011,N,8731.746,0.001,-4356,4,-4356.1019,-4356.1019,4.0825,N,71922075.824,71922075.824,0.081,N,71922075.82,0.08,18166.5100,18166.51,0.8233,18166.5,0.8,N,17599.1043,17599.1043,1.9193,17599.1,1.9,N,-5003.6716,-5003.6716,0.7821,-5003.7,0.8,N,-4717.7213,-4717.7213,1.9576,-4717.7,2.0,N,-12546.0951,-12546.0951,2.6549,-12546.1,2.7,N,-12763.9714,-12763.9714,4.1637,-12764,4,N,10750.5714,10750.5714,0.8184,10750.6,0.8,N,9735.7546,9735.7546,0.8145,9735.8,0.8,N,7035.0470,7035.047,1.2033,7035.0,1.2,N,1605.9647,1605.9647,1.1998,1606.0,1.2,N,1478.3983,1478.3983,0.7983,1478.4,0.8,N,NULL,NULL,NULL,NULL,NULL,NULL,-3997.626,0.822,-3997.6,0.8,-3997.626
72AS,39,33,-68229.808,-68229.808,4.083,N,-68230,4,8660.3786,8660.3786,0.0567,N,8660.38,0.06,-362,5,-361.6194,-361.6194,4.5276,N,71926752.291,71926752.291,4.383,N,71926752,4,20038.4711,20038.4711,4.3156,20038,4,N,13897.6002,13897.6002,4.2561,13898,4,N,-3568.6697,-3568.6697,4.3265,-3569,4,N,-9168.0578,-9168.0578,4.2098,-9168,4,N,-5379.6526,-5379.6526,4.1629,-5380,4,N,-13154.6115,-13154.6115,4.9479,-13155,5,N,8407.8695,8407.8695,5.8312,8408,6,N,5612.1225,5612.1225,4.1637,5612,4,N,13043.0351,13043.0351,4.1647,13043,4,N,3734.9211,3734.9211,4.2905,3735,4,N,6744.4136,6744.4136,4.2551,6744,4,N,NULL,NULL,NULL,NULL,NULL,NULL,4356.102,4.084,4356,4,4356.102
72SE,38,34,-67868.189,-67868.189,1.956,N,-67868.2,2.0,8644.4902,8644.4902,0.0272,N,8644.490,0.027,-8806.4,2.2,-8806.4384,-8806.4384,2.2083,N,71927140.506,71927140.506,2.100,N,71927140.5,2.1,22080.9253,22080.9253,2.5168,22080.9,2.5,N,11884.0947,11884.0947,2.1210,11884.1,2.1,N,-3314.3058,-3314.3058,2.7106,-3314.3,2.7,N,-13927.6067,-13927.6067,8.2462,-13928,8,N,-5250.5031,-5250.5031,2.1191,-5250.5,2.1,N,-19437.0804,-19437.0804,5.7453,-19437,6,N,12792.9921,12792.9921,3.4111,12793,3,N,7263.9031,7263.9031,4.5997,7264,5,N,7176.5915,7176.5915,2.4039,7176.6,2.4,N,108.0478,108.0478,32.0592,108,32,N,4878.8875,4878.8875,2.3585,4878.9,2.4,N,NULL,NULL,NULL,NULL,NULL,NULL,361.619,4.527,362,5,361.619
72BR,37,35,-59061.750,-59061.75,1.025,N,-59061.8,1.0,8511.3126,8511.3126,0.0142,N,8511.313,0.014,-5121,8,-5121.1683,-5121.1683,8.0761,N,71936594.606,71936594.606,1.100,N,71936594.6,1.1,23778.7596,23778.7596,14.9391,23779,15,N,9305.7193,9305.7193,1.7327,9305.7,1.7,N,-2592.1389,-2592.1389,2.1111,-2592.1,2.1,N,-20732,-20732,500,-20732,500,Y,1542.5353,1542.5353,4.2873,1543,4,N,-20805.8575,-20805.8575,128.7726,-20806,129,N,10630.6420,10630.642,5.4983,10631,5,N,3204.2067,3204.2067,2.9764,3204,3,N,13578.9562,13578.9562,1.8861,13579.0,1.9,N,2237.0190,2237.019,1.8084,2237.0,1.8,N,9696.8332,9696.8332,32.0158,9697,32,N,NULL,NULL,NULL,NULL,NULL,NULL,8806.439,2.208,8806.4,2.2,8806.439
72KR,36,36,-53940.582,-53940.582,8.011,N,-53941,8,8429.3193,8429.3193,0.1113,N,8429.32,0.11,-15611,500,-15611,-15611,500,Y,71942092.406,71942092.406,8.600,N,71942092,9,28983,28983,200,28983,200,Y,6588.6246,6588.6246,8.1659,6589,8,N,-2176.0492,-2176.0492,8.0262,-2176,8,N,NULL,NULL,NULL,NULL,NULL,NULL,1916.9616,1916.9616,8.4843,1917,8,N,-29722,-29722,400,-29722,400,Y,15684.6892,15684.6892,129.0175,15685,129,N,4727.1267,4727.1267,9.6621,4727,10,N,8195.8518,8195.8518,16.9204,8196,17,N,-2817.0491,-2817.0491,42.7600,-2817,43,N,8140.5343,8140.5343,8.1483,8141,8,N,NULL,NULL,NULL,NULL,NULL,NULL,5121.168,8.076,5121,8,5121.168
72RB,35,37,-38330,-38330,500,Y,-38330,500,8202,8202,7,Y,8202,7,NULL,NULL,NULL,NULL,NULL,NULL,71958851,71958851,537,Y,71958850,540,NULL,NULL,NULL,NULL,NULL,NULL,1482,1482,500,1482,500,Y,-1964,-1964,563,-1964,563,Y,NULL,NULL,NULL,NULL,NULL,NULL,10883,10883,500,10883,500,Y,NULL,NULL,NULL,NULL,NULL,NULL,14111,14111,640,14111,640,Y,-708,-708,517,-708,517,Y,13481,13481,539,13481,539,Y,-1326,-1326,583,-1326,583,Y,13576,13576,502,13576,502,Y,NULL,NULL,NULL,NULL,NULL,NULL,15610.582,500.064,15611,500,15610.582
73MN,48,25,-6700,-6700,600,Y,-6700,600,7895,7895,8,Y,7895,8,17290,780,17289,17289,781,Y,72992807,72992807,644,Y,72992810,640,6223,6223,781,6223,781,Y,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,31269,31269,671,31269,671,Y,NULL,NULL,NULL,NULL,NULL,NULL,14478,14478,781,14478,781,Y,3602,3602,848,3602,848,Y,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3804,3804,848,3804,848,Y,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
73FE,47,26,-23990,-23990,500,Y,-23990,500,8121,8121,7,Y,8121,7,13980,580,13980,13980,583,Y,72974246,72974246,537,Y,72974250,540,8203,8203,640,8203,640,Y,NULL,NULL,NULL,NULL,NULL,NULL,-16785,-16785,707,-16785,707,Y,26118,26118,500,26118,500,Y,NULL,NULL,NULL,NULL,NULL,NULL,8239,8239,583,8239,583,Y,2811,2811,707,2811,707,Y,20109,20109,781,20109,781,Y,3341,3341,707,3341,707,Y,1324,1324,707,1324,707,Y,-12703,-12703,781,-12703,781,Y,NULL,NULL,NULL,NULL,NULL,NULL,-17290,781.0,-17290,781,-17290.0
